year,month,day,grouse_depth,grouse_swe,grouse_density,dog_depth,dog_swe,dog_density,orchid_depth,orchid_swe,orchid_density,disappointment_depth,disappointment_swe,disappointment_density,palisade_depth,palisade_swe,palisade_density,snowline,enso_phase,enso_oni,enso_oni_main,pdo_phase,pdo_anomaly,pdo_phase_main,sca_%
1936,1,1,,,,,,,,,,,,,,,,,neutral,0.2,neutral,positive,2.17,positive,
1936,2,1,,,,,,,,,,,,,,,,,neutral,0.3,neutral,positive,1.6,positive,
1936,3,1,,,,,,,,,,,,,,,,,neutral,0.5,neutral,positive,1.19,positive,
1936,4,1,320,1316,41.13,,,,,,,,,,,,,,neutral,0.4,neutral,positive,1.19,positive,
1936,5,1,,,,,,,,,,,,,,,,,neutral,0.4,neutral,positive,1.64,positive,
1936,5,15,,,,,,,,,,,,,,,,,neutral,0.4,neutral,positive,2.24,positive,
1936,6,1,,,,,,,,,,,,,,,,,neutral,0.3,neutral,positive,2.24,positive,
1936,6,15,,,,,,,,,,,,,,,,,neutral,0.3,neutral,positive,2.56,positive,
1937,1,1,,,,,,,,,,,,,,,,,neutral,-0.1,neutral,positive,0.06,positive,
1937,2,1,,,,,,,,,,,,,,,,,neutral,-0.3,neutral,negative,-0.45,positive,
1937,3,1,,,,,,,,,,,,,,,,,neutral,-0.1,neutral,negative,-0.28,positive,
1937,4,1,239,1143,47.82,,,,,,,,,,,,,,neutral,0.1,neutral,negative,-0.69,positive,
1937,5,1,,,,,,,,,,,,,,,,,neutral,0.2,neutral,negative,-0.39,positive,
1937,5,15,,,,,,,,,,,,,,,,,neutral,0.2,neutral,positive,0.56,positive,
1937,6,1,,,,,,,,,,,,,,,,,neutral,0,neutral,positive,1.16,positive,
1937,6,15,,,,,,,,,,,,,,,,,neutral,0,neutral,positive,0.1,positive,
1938,1,1,,,,,,,,,,,,,,,,,negative,-0.6,negative,positive,1.53,positive,
1938,2,1,,,,,,,,,,,,,,,,,negative,-0.8,negative,positive,0.28,positive,
1938,3,1,,,,,,,,,,,,,,,,,negative,-0.7,negative,negative,-0.45,positive,
1938,4,1,292,1229,42.09,,,,,,,,,,,,,,negative,-0.8,negative,negative,-0.22,positive,
1938,5,1,,,,,,,,,,,,,,,,,negative,-0.5,negative,negative,-0.59,positive,
1938,5,15,,,,,,,,,,,,,,,,,negative,-0.5,negative,negative,-0.62,positive,
1938,6,1,,,,,,,,,,,,,,,,,negative,-0.6,negative,negative,-0.62,positive,
1938,6,15,,,,,,,,,,,,,,,,,negative,-0.6,negative,negative,-0.63,positive,
1939,1,1,,,,,,,,,,,,,,,,,negative,-0.9,negative,positive,1.17,positive,
1939,2,1,,,,,,,,,,,,,,,,,negative,-0.8,negative,negative,-0.1,positive,
1939,3,1,,,,,,,,,,,,,,,,,negative,-0.5,negative,negative,-0.63,positive,
1939,4,1,328,1659,50.58,,,,,,,,,,,,,,neutral,-0.4,negative,positive,0.03,positive,
1939,5,1,,,,,,,,,,,,,,,,,neutral,-0.2,negative,positive,0.12,positive,
1939,5,15,,,,,,,,,,,,,,,,,neutral,0.3,negative,positive,0.05,positive,
1939,6,1,,,,,,,,,,,,,,,,,neutral,0.3,negative,negative,-0.07,positive,
1939,6,15,,,,,,,,,,,,,,,,,neutral,0.3,negative,negative,-0.68,positive,
1940,1,1,,,,,,,,,,,,,,,,,neutral,0.4,neutral,positive,1.82,positive,
1940,2,1,,,,,,,,,,,,,,,,,neutral,0.5,neutral,positive,1.55,positive,
1940,3,1,,,,,,,,,,,,,,,,,neutral,0.5,neutral,positive,1.87,positive,
1940,4,1,89,460,51.69,,,,,,,,,,,,,,neutral,0.4,neutral,positive,2.06,positive,
1940,5,1,,,,,,,,,,,,,,,,,neutral,0.4,neutral,positive,1.76,positive,
1940,5,15,,,,,,,,,,,,,,,,,neutral,0.4,neutral,positive,2.07,positive,
1940,6,1,,,,,,,,,,,,,,,,,neutral,0.3,neutral,positive,2.07,positive,
1940,6,15,,,,,,,,,,,,,,,,,neutral,0.3,neutral,positive,1.82,positive,
1941,1,1,,,,,,,,,,,,,,,,,positive,1.1,positive,positive,2.67,positive,
1941,2,1,,,,,,,,,,,,,,,,,positive,1,positive,positive,2.86,positive,
1941,3,1,,,,,,,,,,,,,,,,,positive,1.1,positive,positive,2.43,positive,
1941,4,1,76,376,49.47,,,,,,,,,,,,,,positive,0.8,positive,positive,2.31,positive,
1941,5,1,,,,,,,,,,,,,,,,,positive,0.5,positive,positive,2.07,positive,
1941,5,15,,,,,,,,,,,,,,,,,positive,0.5,positive,positive,2.56,positive,
1941,6,1,,,,,,,,,,,,,,,,,positive,0.5,positive,positive,2.83,positive,
1941,6,15,,,,,,,,,,,,,,,,,positive,0.5,positive,positive,3.01,positive,
1942,1,1,,,,,,,,,,,,,,,,,neutral,0.4,neutral,positive,2.48,positive,
1942,2,1,,,,,,,,,,,,,,,,,neutral,0.2,neutral,positive,1.96,positive,
1942,3,1,,,,,,,,,,,,,,,,,neutral,0.1,neutral,positive,1.11,positive,
1942,4,1,168,759,45.18,,,,,,,,,,,,,,neutral,-0.1,neutral,positive,0.97,positive,
1942,5,1,,,,,,,,,,,,,,,,,neutral,-0.3,neutral,positive,0.53,positive,
1942,5,15,,,,,,,,,,,,,,,,,neutral,-0.3,neutral,positive,0.77,positive,
1942,6,1,,,,,,,,,,,,,,,,,negative,-0.5,neutral,positive,0.77,positive,
1942,6,15,,,,,,,,,,,,,,,,,negative,-0.5,neutral,positive,0.58,positive,
1943,1,1,,,,,,,,,,,,,,,,,negative,-1.4,negative,negative,-1.62,positive,
1943,2,1,,,,,,,,,,,,,,,,,negative,-1.3,negative,negative,-0.7,positive,
1943,3,1,,,,,,,,,,,,,,,,,negative,-1,negative,positive,0.32,positive,
1943,4,1,257,1039,40.43,,,,,,,,,,,,,,negative,-0.6,negative,positive,1.28,positive,
1943,5,1,,,,,,,,,,,,,,,,,neutral,-0.2,negative,positive,0.58,positive,
1943,5,15,,,,,,,,,,,,,,,,,neutral,0,negative,positive,0.15,positive,
1943,6,1,,,,,,,,,,,,,,,,,neutral,0.1,negative,negative,-0.14,positive,
1943,6,15,,,,,,,,,,,,,,,,,neutral,0.1,negative,negative,-0.22,positive,
1944,1,1,,,,,,,,,,,,,,,,,neutral,-0.4,neutral,positive,1.58,positive,
1944,2,1,,,,,,,,,,,,,,,,,neutral,-0.2,neutral,positive,0.25,positive,
1944,3,1,,,,,,,,,,,,,,,,,neutral,0,neutral,negative,-0.53,negative,
1944,4,1,180,767,42.61,,,,,,,,,,,,,,neutral,0.2,neutral,negative,-0.87,negative,
1944,5,1,,,,,,,,,,,,,,,,,neutral,0.3,neutral,negative,-1.76,negative,
1944,5,15,,,,,,,,,,,,,,,,,neutral,0.4,neutral,negative,-1.92,negative,
1944,6,1,,,,,,,,,,,,,,,,,neutral,0.4,neutral,negative,-2.1,negative,
1944,6,15,,,,,,,,,,,,,,,,,neutral,0.3,neutral,negative,-1.49,negative,
1945,1,1,,,,,,,,,,,,,,,,,negative,-0.9,negative,negative,-0.09,negative,
1945,2,1,,,,,,,,,,,,,,,,,negative,-0.8,negative,negative,-0.34,negative,
1945,3,1,,,,,,,,,,,,,,,,,negative,-0.5,negative,negative,-0.06,negative,
1945,4,1,262,1064,40.61,361,1314,36.4,,,,,,,,,,,neutral,-0.3,negative,negative,-0.37,negative,
1945,5,1,,,,,,,,,,,,,,,,,neutral,-0.2,negative,negative,-0.38,negative,
1945,5,15,,,,,,,,,,,,,,,,,neutral,-0.2,negative,negative,-0.17,negative,
1945,6,1,,,,,,,,,,,,,,,,,neutral,-0.1,negative,positive,0.16,negative,
1945,6,15,,,,,,,,,,,,,,,,,neutral,-0.1,negative,positive,0.31,negative,
1946,1,1,,,,,,,,,,,,,,,,,negative,-1.1,negative,negative,-1.1,negative,
1946,2,1,,,,,,,,,,,,,,,,,negative,-1,negative,positive,0.67,negative,
1946,3,1,,,,,,,,,,,,,,,,,negative,-0.9,negative,positive,0.73,negative,
1946,4,1,721,2497,34.63,732,2560,34.97,,,,,,,765,2845,37.19,,negative,-0.8,negative,positive,0.67,negative,
1946,5,1,,,,,,,,,,,,,,,,,negative,-0.6,negative,negative,-0.45,negative,
1946,5,15,,,,,,,,,,,,,,,,,negative,-0.6,negative,negative,-0.52,negative,
1946,6,1,,,,,,,,,,,,,,,,,negative,-0.6,negative,negative,-0.63,negative,
1946,6,15,,,,,,,,,,,,,,,,,negative,-0.6,negative,negative,-0.07,negative,
1947,1,1,,,,,,,,,,,,,,,,,neutral,-0.1,neutral,negative,-0.15,negative,
1947,2,1,,,,,,,,,,,,,,,,,neutral,0.2,neutral,positive,0.22,negative,
1947,3,1,,,,,,,,,,,,,,,,,neutral,0.1,neutral,positive,0.31,negative,
1947,4,1,216,1008,46.67,257,1171,45.56,,,,,,,279,1204,43.15,,neutral,0.2,neutral,positive,0.1,negative,
1947,5,1,,,,,,,,,,,,,,,,,neutral,0.2,neutral,negative,-0.36,negative,
1947,5,15,,,,,,,,,,,,,,,,,neutral,0.2,neutral,positive,0.15,negative,
1947,6,1,,,,,,,,,,,,,,,,,neutral,0.1,neutral,positive,0.67,negative,
1947,6,15,,,,,,,,,,,,,,,,,neutral,0.1,neutral,positive,0.78,negative,
1948,1,1,,,,,,,,,,,,,,,,,neutral,0.1,neutral,positive,0.27,negative,
1948,2,1,,,,,,,,,,,,,,,,,neutral,0.2,neutral,negative,-0.32,negative,
1948,3,1,,,,,,,,,,,,,,,,,neutral,0.5,neutral,negative,-1.11,negative,
1948,4,1,424,1735,40.92,437,2024,46.32,,,,,,,447,1722,38.52,,neutral,0.4,neutral,negative,-1.13,negative,
1948,5,1,,,,,,,,,,,,,,,,,neutral,0.2,neutral,negative,-1.78,negative,
1948,5,15,,,,,,,,,,,,,,,,,neutral,0.2,neutral,negative,-0.69,negative,
1948,6,1,,,,,,,,,,,,,,,,,neutral,0.1,neutral,negative,-0.01,negative,
1948,6,15,,,,,,,,,,,,,,,,,neutral,0.1,neutral,negative,-0.1,negative,
1949,1,1,,,,,,,,,,,,,,,,,neutral,0.1,neutral,negative,-2.82,negative,
1949,2,1,,,,,,,,,,,,,,,,,neutral,0.2,neutral,negative,-3.17,negative,
1949,3,1,,,,,,,,,,,,,,,,,neutral,0,neutral,negative,-1.82,negative,
1949,4,1,406,1580,38.92,381,1470,38.58,,,,,,,450,1800,40,,neutral,0,neutral,negative,-1.54,negative,
1949,5,1,,,,,,,,,,,,,,,,,neutral,-0.2,neutral,negative,-1.37,negative,
1949,5,15,,,,,,,,,,,,,,,,,neutral,-0.2,neutral,negative,-1.3,negative,
1949,6,1,,,,,,,,,,,,,,,,,neutral,-0.2,neutral,negative,-1.21,negative,
1949,6,15,,,,,,,,,,,,,,,,,neutral,-0.1,neutral,negative,-1.48,negative,
1950,1,1,,,,,,,,,,,,,,,,,negative,-1.53,negative,negative,-1.61,negative,
1950,2,1,188,640,34.04,,,,,,,,,,,,,,negative,-1.34,negative,negative,-2.17,negative,
1950,3,1,277,925,33.39,,,,,,,,,,394,1245,31.6,,negative,-1.16,negative,negative,-1.89,negative,
1950,4,1,406,1545,38.05,452,1680,37.17,,,,,,,518,1810,34.94,,negative,-1.18,negative,negative,-1.99,negative,
1950,5,1,351,1510,43.02,,,,,,,,,,419,1702,40.62,,negative,-1.07,negative,negative,-3.19,negative,
1950,5,15,,,,,,,,,,,,,358,1626,45.42,,negative,-0.85,negative,negative,-2.78,negative,
1950,6,1,,,,,,,,,,,,,,,,,negative,-0.7,negative,negative,-2.52,negative,
1950,6,15,,,,,,,,,,,,,,,,,negative,-0.54,negative,negative,-3.65,negative,
1951,1,1,,,,,,,,,,,,,,,,,negative,-0.82,negative,negative,-1.19,negative,
1951,2,1,163,642,39.39,193,660,34.2,,,,,,,,,,,negative,-0.54,negative,negative,-1.52,negative,
1951,3,1,213,835,39.2,259,1082,41.78,,,,,,,287,1045,36.41,,neutral,-0.17,negative,negative,-1.72,negative,
1951,4,1,241,985,40.87,328,1275,38.87,,,,,,,378,1387,36.69,,neutral,0.18,negative,negative,-1.35,negative,
1951,5,1,157,813,51.78,,,,,,,,,,216,1041,48.19,,neutral,0.36,negative,negative,-1.29,negative,
1951,5,15,,,,,,,,,,,,,193,1072,55.54,,positive,0.58,negative,negative,-1.45,negative,
1951,6,1,,,,,,,,,,,,,,,,,positive,0.6,negative,negative,-1.77,negative,
1951,6,15,,,,,,,,,,,,,,,,,positive,0.7,positive,negative,-0.23,negative,
1952,1,1,,,,,,,,,,,,,,,,,positive,0.53,positive,negative,-2.19,negative,
1952,2,1,315,1031,32.73,,,,,,,,,,,,,,neutral,0.37,positive,negative,-1.35,negative,
1952,3,1,246,986,40.08,,,,,,,,,,,,,,neutral,0.34,positive,negative,-1.67,negative,
1952,4,1,317,1221,38.52,310,1200,38.71,,,,,,,,,,,neutral,0.29,positive,negative,-1.92,negative,
1952,5,1,269,1234,45.87,264,1186,44.92,,,,,,,,,,,neutral,0.2,positive,negative,-2.07,negative,
1952,5,15,,,,,,,,,,,,,,,,,neutral,0,positive,negative,-2.13,negative,
1952,6,1,,,,,,,,,,,,,,,,,neutral,0,positive,negative,-2.13,negative,
1952,6,15,,,,,,,,,,,,,,,,,neutral,-0.08,positive,negative,-2.05,negative,
1953,1,1,,,,,,,,,,,,,,,,,neutral,0.4,positive,negative,-0.16,negative,
1953,2,1,249,838,33.65,,,,,,,,,,,,,,positive,0.6,positive,negative,-0.46,negative,
1953,3,1,274,1056,38.54,,,,,,,,,,361,1312,36.34,,positive,0.63,positive,negative,-1.27,negative,
1953,4,1,330,1282,38.85,317,1143,36.06,,,,,,,424,1722,40.61,,positive,0.66,positive,negative,-0.9,negative,
1953,5,1,251,1030,41.04,,,,,,,,,,342,1675,48.98,,positive,0.75,positive,negative,-0.55,negative,
1953,5,15,,,,,,,,,,,,,,,,,positive,0.77,positive,negative,-0.41,negative,
1953,6,1,,,,,,,,,,,,,,,,,positive,0.77,positive,negative,-0.2,negative,
1953,6,15,,,,,,,,,,,,,,,,,positive,0.75,positive,negative,0.06,negative,
1954,1,1,,,,,,,,,,,,,,,,,positive,0.76,neutral,negative,-1.13,negative,
1954,2,1,328,1082,32.99,,,,,,,,,,,,,,neutral,0.47,neutral,negative,-0.95,negative,
1954,3,1,386,1350,34.97,,,,,,,,,,417,1480,35.49,,neutral,-0.05,neutral,negative,-1.15,negative,
1954,4,1,386,1529,39.61,345,1400,40.58,,,,,,,452,1778,39.34,,neutral,-0.41,neutral,negative,-1.25,negative,
1954,5,1,358,1485,41.48,,,,,,,,,,401,1620,40.4,,negative,-0.54,neutral,negative,-0.76,negative,
1954,5,15,,,,,,,,,,,,,,,,,negative,-0.5,neutral,positive,0.06,negative,
1954,6,1,,,,,,,,,,,,,,,,,negative,-0.55,neutral,positive,0.49,negative,
1954,6,15,,,,,,,,,,,,,,,,,negative,-0.64,neutral,negative,-0.08,negative,
1955,1,1,,,,,,,,,,,,,,,,,negative,-0.68,negative,negative,-0.23,negative,
1955,2,1,198,706,35.66,,,,,,,,,,,,,,negative,-0.62,negative,negative,-1.01,negative,
1955,3,1,272,980,36.03,,,,,,,,,,295,1035,35.08,,negative,-0.69,negative,negative,-1.24,negative,
1955,4,1,376,1492,39.68,373,1396,37.43,,,,,,,384,1692,44.06,,negative,-0.8,negative,negative,-2.21,negative,
1955,5,1,358,1528,42.68,,,,,,,,,,437,1976,45.22,,negative,-0.79,negative,negative,-1.89,negative,
1955,5,15,,,,,,,,,,,,,,,,,negative,-0.72,negative,negative,-2.01,negative,
1955,6,1,,,,,,,,,,,,,,,,,negative,-0.7,negative,negative,-2.18,negative,
1955,6,15,,,,,,,,,,,,,,,,,negative,-0.68,negative,negative,-2.75,negative,
1956,1,1,,,,,,,,,,,,,,,,,negative,-1.11,negative,negative,-2.26,negative,
1956,2,1,272,859,31.58,,,,,,,,,,,,,,negative,-0.76,negative,negative,-2.28,negative,
1956,3,1,462,1665,36.04,,,,,,,,,,589,1940,32.94,,negative,-0.63,negative,negative,-2.93,negative,
1956,4,1,472,1980,41.95,483,1976,40.91,,,,,,,691,2656,38.44,,negative,-0.54,negative,negative,-2.55,negative,
1956,5,1,378,1844,48.78,,,,,,,,,,513,2431,47.39,,negative,-0.52,negative,negative,-1.62,negative,
1956,5,15,,,,,,,,,,,,,,,,,negative,-0.51,negative,negative,-1.75,negative,
1956,6,1,,,,,,,,,,,,,,,,,negative,-0.55,negative,negative,-1.98,negative,
1956,6,15,,,,,,,,,,,,,,,,,negative,-0.57,negative,negative,-1.48,negative,
1957,1,1,,,,,,,,,,,,,,,,,neutral,-0.25,neutral,negative,-1.31,negative,
1957,2,1,211,658,31.18,,,,,,,,,,284,1161,40.88,,neutral,0.06,neutral,negative,-1.57,negative,
1957,3,1,235,998,42.47,,,,,,,,,,366,1443,39.43,,neutral,0.41,neutral,negative,-0.83,negative,
1957,4,1,272,1286,47.28,310,1400,45.16,,,,,,,295,1466,49.69,,positive,0.72,neutral,negative,-0.81,negative,
1957,5,1,239,1115,46.65,,,,,,,,,,,,,,positive,0.92,neutral,negative,-0.02,negative,
1957,5,15,,,,,,,,,,,,,,,,,positive,1.11,neutral,positive,0.76,negative,
1957,6,1,,,,,,,,,,,,,,,,,positive,1.2,neutral,positive,1.53,negative,
1957,6,15,,,,,,,,,,,,,,,,,positive,1.25,neutral,positive,0.59,negative,
1958,1,1,,,,,,,,,,,,,,,,,positive,1.81,positive,positive,0.83,negative,
1958,2,1,262,1049,40.04,,,,,,,,,,,,,,positive,1.66,positive,positive,0.94,negative,
1958,3,1,239,1085,45.4,,,,,,,,,,297,1496,50.37,,positive,1.27,positive,positive,0.62,negative,
1958,4,1,284,1265,44.54,300,1312,43.73,,,,,,,330,1473,44.64,,positive,0.93,positive,positive,0.56,negative,
1958,5,1,257,1283,49.92,,,,,,,,,,317,1659,52.33,,positive,0.74,positive,positive,1.46,negative,
1958,5,15,,,,,,,,,,,,,,,,,positive,0.64,positive,positive,1.57,negative,
1958,6,1,,,,,,,,,,,,,,,,,positive,0.6,positive,positive,1.82,negative,
1958,6,15,,,,,,,,,,,,,,,,,positive,0.57,positive,positive,0.61,negative,
1959,1,1,,,,,,,,,,,,,,,,,positive,0.61,positive,positive,1.04,negative,
1959,2,1,122,437,35.82,,,,,,,,,,,,,,positive,0.62,positive,positive,0.35,negative,
1959,3,1,211,720,34.12,,,,,,,,,,239,765,32.01,,positive,0.52,positive,negative,-0.14,negative,
1959,4,1,300,1237,41.23,353,1410,39.94,,,,,,,317,1219,38.45,,neutral,0.33,positive,negative,-0.16,negative,
1959,5,1,244,1085,44.47,,,,,,,,,,251,1039,41.39,,neutral,0.2,positive,negative,-0.13,negative,
1959,5,15,,,,,,,,,,,,,,,,,neutral,-0.07,positive,positive,0.02,negative,
1959,6,1,,,,,,,,,,,,,,,,,neutral,-0.1,positive,positive,0.23,negative,
1959,6,15,,,,,,,,,,,,,,,,,neutral,-0.18,positive,negative,-0.42,negative,
1960,1,1,,,,,,,,,,,,,,,,,neutral,-0.1,neutral,positive,0.24,negative,
1960,2,1,147,500,34.01,,,,,,,,,,,,,,neutral,-0.1,neutral,positive,0.61,negative,
1960,3,1,196,663,33.83,,,,,,,,,,193,818,42.38,,neutral,-0.07,neutral,positive,0.23,negative,
1960,4,1,257,1046,40.7,229,963,42.05,,,,,,,292,1156,39.59,,neutral,0.03,neutral,positive,0.21,negative,
1960,5,1,231,1107,47.92,,,,,,,,,,267,1323,49.55,,neutral,0.02,neutral,positive,0.35,negative,
1960,5,15,,,,,,,,,,,,,,,,,neutral,0.03,neutral,positive,0.82,negative,
1960,6,1,,,,,,,,,,,,,,,,,neutral,0.1,neutral,positive,1.2,negative,
1960,6,15,,,,,,,,,,,,,,,,,neutral,0.13,neutral,negative,-0.42,negative,
1961,1,1,,,,,,,,,,,,,,,,,neutral,0.04,neutral,positive,0.89,negative,
1961,2,1,142,632,44.51,,,,,,,,,,,,,,neutral,0.03,neutral,positive,0.92,negative,
1961,3,1,236,686,29.07,,,,,,,,,,328,952,29.02,,neutral,0.04,neutral,positive,0.64,negative,
1961,4,1,279,1313,47.06,264,1148,43.48,,,,,,,305,1417,46.46,,neutral,0.09,neutral,positive,0.28,negative,
1961,5,1,226,1115,49.34,,,,,,,,,,251,1331,53.03,,neutral,0.23,neutral,negative,-0.54,negative,
1961,5,15,,,,,,,,,,,,,,,,,neutral,0.27,neutral,negative,-0.6,negative,
1961,6,1,,,,,,,,,,,,,,,,,neutral,0.2,neutral,negative,-0.7,negative,
1961,6,15,,,,,,,,,,,,,,,,,neutral,0.14,neutral,negative,-1.23,negative,
1962,1,1,,,,,,,,,,,,,,,,,neutral,-0.24,neutral,negative,-1,negative,
1962,2,1,213,986,46.29,,,,,,,,,,,,,,neutral,-0.22,neutral,negative,-0.87,negative,
1962,3,1,178,800,44.94,,,,,,,,,,185,937,50.65,,neutral,-0.2,neutral,negative,-1.06,negative,
